State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Madhya Pradesh",Indore,"Gautampura APMC",Wheat,Wheat,FAQ,23/08/2026,2491,2491,2491
"Andhra Pradesh",Kakinada,"Pithapuram APMC",Paddy(Common),"B P T",FAQ,23/08/2026,2369,2389,2379
"Andhra Pradesh",Kakinada,"Jaggampet APMC",Paddy(Common),Common,FAQ,23/08/2026,2369,2380,2369
Tripura,"North Tripura",Kadamtala,Paddy(Common),Masuri,FAQ,23/08/2026,3500,4000,3800
Keralam,Wayanad,"Pulpally Market",Paddy(Common),Other,Local,23/08/2026,3120,3140,3130
"Andhra Pradesh",Srikakulam,"Kothabommali APMC",Paddy(Common),Paddy,Local,23/08/2026,3000,3000,3000
"Andhra Pradesh",Markapuram,"Giddalur APMC","Bengal Gram(Gram)(Whole)",Other,FAQ,23/08/2026,5850,6000,5900
"Tamil Nadu",Erode,"Gobichettipalayam(Uzhavar Sandhai )",Groundnut,"Big (With Shell)",Local,23/08/2026,4500,5000,4750
"Tamil Nadu",Salem,"Jalagandapuram(Uzhavar Sandhai )",Groundnut,"Big (With Shell)",Local,23/08/2026,6500,7000,6750
"Tamil Nadu",Madurai,"Melur(Uzhavar Sandhai )",Groundnut,"Big (With Shell)",Local,23/08/2026,7000,8000,7500
"Tamil Nadu",Madurai,"Anna nagar(Uzhavar Sandhai )",Groundnut,"Big (With Shell)",Local,23/08/2026,6000,7000,6500
"Tamil Nadu",Thiruvannamalai,"Tamarainagar(Uzhavar Sandhai )",Groundnut,"Big (With Shell)",Local,23/08/2026,7000,8400,7700
"Tamil Nadu",Madurai,"Anaiyur(Uzhavar Sandhai )",Groundnut,"Big (With Shell)",Local,23/08/2026,7000,8000,7500
Haryana,Gurgaon,"Gurgaon APMC",Apple,Apple,"Grade B",23/08/2026,5000,7000,6000
Haryana,Hissar,"Hansi APMC",Apple,Other,"Grade B",23/08/2026,8000,20000,15000
Punjab,Gurdaspur,"Quadian APMC",Apple,Other,"Grade A",23/08/2026,6800,7000,6900
"Tamil Nadu",Coimbatore,"Vadavalli(Uzhavar Sandhai )",Orange,Darjeeling,Local,23/08/2026,8000,14000,11000
"Tamil Nadu",Thiruvarur,"Mannargudi I(Uzhavar Sandhai )",Orange,Darjeeling,Local,23/08/2026,16000,16000,16000
"Tamil Nadu","Nagercoil (Kannyiakumari)","Myladi(Uzhavar Sandhai )",Banana,Besrai,Local,23/08/2026,5500,6000,5750
"Tamil Nadu",Vellore,"Thirupathur APMC",Banana,Besrai,Local,23/08/2026,4000,4000,4000
"Tamil Nadu",Thanjavur,"Pattukottai(Uzhavar Sandhai )",Banana,Besrai,Local,23/08/2026,3500,3500,3500
"Tamil Nadu",Thanjavur,"Kumbakonam (Uzhavar Sandhai )",Banana,Besrai,Local,23/08/2026,4000,4000,4000
"Tamil Nadu",Dindigul,"Vedasanthur(Uzhavar Sandhai )",Banana,Besrai,Local,23/08/2026,6000,7000,6500
